x,CDF(x)
-3.9932,3.25937698115012e-05
-3.9931,3.26075242761995e-05
-3.993,3.26212842342899e-05
-3.9929,3.26350496878287e-05
-3.9928,3.26488206388727e-05
-3.9927,3.26625970894801e-05
-3.9926,3.26763790417091e-05
-3.9925,3.26901664976189e-05
-3.9924,3.27039594592696e-05
-3.9923,3.27177579287216e-05
-3.9922,3.27315619080364e-05
-3.9921,3.2745371399276e-05
-3.992,3.2759186404503e-05
-3.9919,3.27730069257812e-05
-3.9918,3.27868329651745e-05
-3.9917,3.28006645247479e-05
-3.9916,3.28145016065671e-05
-3.9915,3.28283442126981e-05
-3.9914,3.28421923452084e-05
-3.9913,3.28560460061655e-05
-3.9912,3.28699051976379e-05
-3.9911,3.28837699216948e-05
-3.991,3.28976401804062e-05
-3.9909,3.29115159758425e-05
-3.9908,3.29253973100753e-05
-3.9907,3.29392841851763e-05
-3.9906,3.29531766032187e-05
-3.9905,3.29670745662756e-05
-3.9904,3.29809780764215e-05
-3.9903,3.29948871357311e-05
-3.9902,3.30088017462801e-05
-3.9901,3.30227219101448e-05
-3.99,3.30366476294025e-05
-3.9899,3.30505789061307e-05
-3.9898,3.30645157424081e-05
-3.9897,3.30784581403138e-05
-3.9896,3.30924061019278e-05
-3.9895,3.31063596293309e-05
-3.9894,3.31203187246041e-05
-3.9893,3.31342833898299e-05
-3.9892,3.31482536270908e-05
-3.9891,3.31622294384705e-05
-3.989,3.31762108260533e-05
-3.9889,3.31901977919241e-05
-3.9888,3.32041903381686e-05
-3.9887,3.32181884668733e-05
-3.9886,3.32321921801252e-05
-3.9885,3.32462014800123e-05
-3.9884,3.32602163686231e-05
-3.9883,3.32742368480468e-05
-3.9882,3.32882629203736e-05
-3.9881,3.33022945876942e-05
-3.988,3.33163318521001e-05
-3.9879,3.33303747156835e-05
-3.9878,3.33444231805371e-05
-3.9877,3.33584772487547e-05
-3.9876,3.33725369224307e-05
-3.9875,3.33866022036601e-05
-3.9874,3.34006730945389e-05
-3.9873,3.34147495971632e-05
-3.9872,3.34288317136307e-05
-3.9871,3.34429194460391e-05
-3.987,3.34570127964872e-05
-3.9869,3.34711117670745e-05
-3.9868,3.3485216359901e-05
-3.9867,3.34993265770676e-05
-3.9866,3.35134424206761e-05
-3.9865,3.35275638928285e-05
-3.9864,3.35416909956281e-05
-3.9863,3.35558237311786e-05
-3.9862,3.35699621015845e-05
-3.9861,3.3584106108951e-05
-3.986,3.35982557553842e-05
-3.9859,3.36124110429906e-05
-3.9858,3.36265719738777e-05
-3.9857,3.36407385501536e-05
-3.9856,3.36549107739272e-05
-3.9855,3.36690886473081e-05
-3.9854,3.36832721724066e-05
-3.9853,3.36974613513338e-05
-3.9852,3.37116561862012e-05
-3.9851,3.37258566791218e-05
-3.985,3.37400628322085e-05
-3.9849,3.37542746475753e-05
-3.9848,3.37684921273369e-05
-3.9847,3.37827152736088e-05
-3.9846,3.3796944088507e-05
-3.9845,3.38111785741487e-05
-3.9844,3.38254187326511e-05
-3.9843,3.38396645661329e-05
-3.9842,3.38539160767129e-05
-3.9841,3.3868173266511e-05
-3.984,3.38824361376478e-05
-3.9839,3.38967046922446e-05
-3.9838,3.39109789324233e-05
-3.9837,3.39252588603066e-05
-3.9836,3.39395444780181e-05
-3.9835,3.39538357876818e-05
-3.9834,3.39681327914228e-05
-3.9833,3.39824354913667e-05
-3.9832,3.399674388964e-05
-3.9831,3.40110579883695e-05
